Image Number,URL,Alt Text,Title,File Extension,File Size,Resolution,Status,Error Message
553,https://www.pothys.com/cdn/shop/files/8-POP-1287-RS-1755.jpg?v=1752589347&width=1066,Yellow digital printed sitara shimmer saree with lace border & self pallu along with plain blouse,Yellow digital printed sitara shimmer saree with lace border & self pallu along with plain blouse,.jpg,204.17 KB,910x1125,Success,
554,https://www.pothys.com/cdn/shop/files/3_85379031-175c-4be9-b94c-f2bdef330034.jpg?v=1750833224&width=533,Black with white vertical lining printed design semi modal crepe saree with temple border & circle butta pallu along with printed blouse,Black with white vertical lining printed design semi modal crepe saree with temple border & circle butta pallu along with printed blouse (srcset variant),.jpg,109.83 KB,533x659,Success,
555,https://www.pothys.com/cdn/shop/files/1-msa-031-rs-11395---Copy-_2_6ce3d061-7277-4a5b-988e-234139e25013.jpg?v=1756561727&width=533,"Brown tree buttas woven soft silk saree, contrast tree motif border & pallu of jaal designs","Brown tree buttas woven soft silk saree, contrast tree motif border & pallu of jaal designs (srcset variant)",.jpg,55.16 KB,533x659,Success,
556,https://www.pothys.com/cdn/shop/files/1-msa-031-rs-11395---Copy-_2_6ce3d061-7277-4a5b-988e-234139e25013.jpg?v=1756561727&width=720,"Brown tree buttas woven soft silk saree, contrast tree motif border & pallu of jaal designs","Brown tree buttas woven soft silk saree, contrast tree motif border & pallu of jaal designs (srcset variant)",.jpg,99.43 KB,720x890,Success,
557,https://www.pothys.com/cdn/shop/files/1-msa-031-rs-11395---Copy-_2_6ce3d061-7277-4a5b-988e-234139e25013.jpg?v=1756561727&width=1066,"Brown tree buttas woven soft silk saree, contrast tree motif border & pallu of jaal designs","Brown tree buttas woven soft silk saree, contrast tree motif border & pallu of jaal designs",.jpg,141.58 KB,910x1125,Success,
558,https://www.pothys.com/cdn/shop/files/3S6A6965.jpg?v=1750160852&width=533,Black floral design softy saree with self intricate zari design border & argyle design pallu,Black floral design softy saree with self intricate zari design border & argyle design pallu (srcset variant),.jpg,50.49 KB,533x659,Success,
559,https://www.pothys.com/cdn/shop/files/1-msa-031-rs-11395-_1_ad63d03d-7179-49fd-b6aa-88a248a2307b.jpg?v=1756561727&width=1066,"Brown tree buttas woven soft silk saree, contrast tree motif border & pallu of jaal designs","Brown tree buttas woven soft silk saree, contrast tree motif border & pallu of jaal designs",.jpg,394.62 KB,910x1125,Success,
560,https://www.pothys.com/cdn/shop/files/1-msa-031-rs-11395-_1_ad63d03d-7179-49fd-b6aa-88a248a2307b.jpg?v=1756561727&width=720,"Brown tree buttas woven soft silk saree, contrast tree motif border & pallu of jaal designs","Brown tree buttas woven soft silk saree, contrast tree motif border & pallu of jaal designs (srcset variant)",.jpg,279.29 KB,720x890,Success,
561,https://www.pothys.com/cdn/shop/files/8a_366e61b0-c366-4758-8372-9ea488352f5b.jpg?v=1752589347&width=940,Yellow digital printed sitara shimmer saree with lace border & self pallu along with plain blouse,Yellow digital printed sitara shimmer saree with lace border & self pallu along with plain blouse (srcset variant),.jpg,166.32 KB,910x1125,Success,
562,https://www.pothys.com/cdn/shop/files/3a_3d5136e4-0dcf-4533-aa23-b83c1b82935a.jpg?v=1752589025&width=1066,"Violet elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse","Violet elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse",.jpg,78.92 KB,910x1125,Success,
